"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'The Four Horsemen', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'The Four Horsemen', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Ride the Lightning', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Harvester of Sorrow', 'Welcome Home (Sanitarium)', 'The Four Horsemen', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"""Now That We're Dead"""
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Whiplash', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Motorbreath', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
"'Hardwired', 'Atlas, Rise!', 'For Whom the Bell Tolls', 'Fuel', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Wherever I May Roam', 'Halo On Fire', 'Hit the Lights', 'Sad But True', 'One', 'Master of Puppets', 'Fade to Black', 'Seek and Destroy'"
